Symbol,Name,5-Year Return,AUM,Avg Daily Share Volume (3mo)
USD,ProShares Ultra Semiconductors,0.5096,"$1,553,710.00","878,284"
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,0.434,"$433,041.00","266,592"
DGP,DB Gold Double Long Exchange Traded Notes,0.39159999999999995,"$332,074.00","38,432"
ERX,Direxion Daily Energy Bull 2X Shares,0.3803,"$272,543.00","331,536"
DIG,ProShares Ultra Energy,0.37329999999999997,"$85,381.30","45,673"
UGL,ProShares Ultra Gold,0.3582,"$1,271,870.00","5,551,787"
URA,Global X Uranium ETF,0.3128,"$6,797,140.00","5,714,719"
DUSL,Direxion Daily Industrials Bull 3X Shares,0.3095,"$50,879.50","18,268"
NUGT,Direxion Daily Gold Miners Index Bull 2x Shares,0.3032,"$1,226,600.00","854,662"
XME,State Street SPDR S&P Metals & Mining ETF,0.3004,"$4,343,790.00","2,786,589"
GREK,Global X MSCI Greece ETF,0.29760000000000003,"$354,788.00","84,359"
SMH,VanEck Semiconductor ETF,0.2854,"$41,188,100.00","7,711,624"
MEXX,Direxion Daily MSCI Mexico Bull 3X Shares,0.2845,"$25,302.60","39,797"
DXJ,WisdomTree Japan Hedged Equity Fund,0.2693,"$6,081,190.00","589,767"
URNM,Sprott Uranium Miners ETF,0.26899999999999996,"$2,271,820.00","895,078"
ARGT,Global X MSCI Argentina ETF,0.2648,"$811,477.00","229,610"
AIRR,First Trust RBA American Industrial Renaissance ETF,0.2643,"$8,061,690.00","712,402"
NLR,VanEck Uranium and Nuclear ETF,0.2623,"$4,372,230.00","677,316"
RING,iShares MSCI Global Gold Miners ETF,0.2563,"$3,219,360.00","547,451"
RSPG,Invesco S&P 500 Equal Weight Energy ETF,0.2534,"$552,287.00","99,197"
AMZA,InfraCap MLP ETF,0.2527,"$416,011.00","39,440"
VDE,Vanguard Energy ETF,0.2491,"$8,431,910.00","662,129"
OPPJ,WisdomTree Japan Opportunities Fund,0.2487,"$162,480.00","39,611"
FENY,Fidelity MSCI Energy Index ETF,0.2486,"$1,517,620.00","5,321,738"
PXE,Invesco Energy Exploration & Production ETF,0.248,"$79,518.70","26,413"
GDX,VanEck Gold Miners ETF,0.247,"$28,979,200.00","26,273,182"
XLE,State Street Energy Select Sector SPDR ETF,0.2465,"$34,723,400.00","39,737,813"
MLPX,Global X MLP & Energy Infrastructure ETF,0.2441,"$2,908,550.00","361,251"
COPX,Global X Copper Miners ETF,0.244,"$7,295,580.00","4,123,003"
EPU,iShares MSCI Peru and Global Exposure ETF,0.2439,"$523,971.00","108,106"
GOEX,Global X Gold Explorers ETF,0.24280000000000002,"$149,628.00","49,781"
SPXL,Direxion Daily S&P 500 Bull 3X Shares,0.24,"$5,482,000.00","3,185,829"
YCS,ProShares UltraShort Yen,0.23920000000000002,"$30,754.70","50,425"
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,0.2391,"$476,920.00","84,249"
UPRO,ProShares UltraPro S&P500,0.2365,"$4,429,760.00","5,259,271"
IYE,iShares U.S. Energy ETF,0.2359,"$1,341,780.00","1,353,411"
EINC,VanEck Energy Income ETF,0.23559999999999998,"$90,655.80","3,981"
ENFR,Alerian Energy Infrastructure ETF,0.2348,"$366,147.00","73,906"
SGDM,Sprott Gold Miners ETF,0.233,"$718,117.00","73,079"
SIVR,abrdn Physical Silver Shares ETF,0.2321,"$6,002,750.00","4,758,008"
SLV,iShares Silver Trust,0.2298,"$40,969,800.00","94,490,648"
FCG,First Trust Natural Gas ETF,0.2289,"$519,567.00","973,465"
USAI,Pacer American Energy Independence ETF,0.2279,"$88,179.00","13,654"
GDXJ,VanEck Junior Gold Miners ETF,0.2254,"$9,831,900.00","6,000,811"
FTXN,First Trust Nasdaq Oil & Gas ETF,0.223,"$110,172.00","24,644"
GLDM,SPDR Gold Minishares Trust of beneficial interest,0.2216,"$30,628,500.00","10,746,482"
IXC,iShares Global Energy ETF,0.22149999999999997,"$2,298,110.00","447,437"
